#hr_timer_export=1
#exported_at=2026-02-22T15:58:50.766Z
#max_hr=189
#name=WHYNN
#age=31
#sex=
#height_cm=173
#weight_kg=64
#session_type=weight
#rounds=12
#work_s=45
#rest_s=80
#prep_s=30
#cooldown_s=180
time_s,phase,round,time_left_s,hr_bpm
0,no_round,no_round,0,69
1,no_round,no_round,0,68
2,no_round,no_round,0,67
3,no_round,no_round,0,67
4,no_round,no_round,0,67
5,Prep,0,29,67
6,Prep,0,28,67
7,Prep,0,27,67
8,Prep,0,26,67
9,Prep,0,25,67
10,Prep,0,24,67
11,Prep,0,23,66
12,Prep,0,22,66
13,Prep,0,21,65
14,Prep,0,20,65
15,Prep,0,19,65
16,Prep,0,18,64
17,Prep,0,17,64
18,Prep,0,16,63
19,Prep,0,15,62
20,Prep,0,14,62
21,Prep,0,13,61
22,Prep,0,12,61
23,Prep,0,11,61
24,Prep,0,10,61
25,Prep,0,9,61
26,Prep,0,8,63
27,Prep,0,7,63
28,Prep,0,6,67
29,Prep,0,5,73
30,Prep,0,4,73
31,Prep,0,3,79
32,Prep,0,2,83
33,Prep,0,1,86
34,Prep,0,0,86
35,Work,0,44,87
36,Work,0,43,87
37,Work,0,42,87
38,Work,0,41,87
39,Work,0,40,87
40,Work,0,39,88
41,Work,0,38,88
42,Work,0,37,90
43,Work,0,36,92
44,Work,0,35,95
45,Work,0,34,97
46,Work,0,33,100
47,Work,0,32,102
48,Work,0,31,103
49,Work,0,30,103
50,Work,0,29,104
51,Work,0,28,104
52,Work,0,27,104
53,Work,0,26,106
54,Work,0,25,106
55,Work,0,24,106
56,Work,0,23,106
57,Work,0,22,106
58,Work,0,21,106
59,Work,0,20,104
60,Work,0,19,102
61,Work,0,18,101
62,Work,0,17,101
63,Work,0,16,100
64,Work,0,15,100
65,Work,0,14,99
66,Work,0,13,99
67,Work,0,12,100
68,Work,0,11,101
69,Work,0,10,101
70,Work,0,9,103
71,Work,0,8,104
72,Work,0,7,104
73,Work,0,6,105
74,Work,0,5,105
75,Work,0,4,104
76,Work,0,3,102
77,Work,0,2,102
78,Work,0,1,101
79,Work,0,0,99
80,Rest,1,79,98
81,Rest,1,78,98
82,Rest,1,77,98
83,Rest,1,76,100
84,Rest,1,75,100
85,Rest,1,74,100
86,Rest,1,73,100
87,Rest,1,72,100
88,Rest,1,71,98
89,Rest,1,70,93
90,Rest,1,69,93
91,Rest,1,68,88
92,Rest,1,67,84
93,Rest,1,66,84
94,Rest,1,65,80
95,Rest,1,64,80
96,Rest,1,63,77
97,Rest,1,62,76
98,Rest,1,61,76
99,Rest,1,60,76
100,Rest,1,59,77
101,Rest,1,58,77
102,Rest,1,57,79
103,Rest,1,56,79
104,Rest,1,55,79
105,Rest,1,54,79
106,Rest,1,53,79
107,Rest,1,52,79
108,Rest,1,51,79
109,Rest,1,50,78
110,Rest,1,49,77
111,Rest,1,48,77
112,Rest,1,47,77
113,Rest,1,46,77
114,Rest,1,45,77
115,Rest,1,44,77
116,Rest,1,43,78
117,Rest,1,42,79
118,Rest,1,41,79
119,Rest,1,40,79
120,Rest,1,39,81
121,Rest,1,38,84
122,Rest,1,37,84
123,Rest,1,36,85
124,Rest,1,35,85
125,Rest,1,34,87
126,Rest,1,33,88
127,Rest,1,32,88
128,Rest,1,31,88
129,Rest,1,30,88
130,Rest,1,29,88
131,Rest,1,28,88
132,Rest,1,27,88
133,Rest,1,26,88
134,Rest,1,25,88
135,Rest,1,24,88
136,Rest,1,23,88
137,Rest,1,22,87
138,Rest,1,21,87
139,Rest,1,20,87
140,Rest,1,19,86
141,Rest,1,18,85
142,Rest,1,17,85
143,Rest,1,16,85
144,Rest,1,15,85
145,Rest,1,14,85
146,Rest,1,13,82
147,Rest,1,12,80
148,Rest,1,11,80
149,Rest,1,10,79
150,Rest,1,9,81
151,Rest,1,8,83
152,Rest,1,7,84
153,Rest,1,6,84
154,Rest,1,5,85
155,Rest,1,4,84
156,Rest,1,3,86
157,Rest,1,2,86
158,Rest,1,1,86
159,Rest,1,0,85
160,Work,1,44,85
161,Work,1,43,84
162,Work,1,42,83
163,Work,1,41,83
164,Work,1,40,84
165,Work,1,39,84
166,Work,1,38,83
167,Work,1,37,83
168,Work,1,36,85
169,Work,1,35,87
170,Work,1,34,90
171,Work,1,33,90
172,Work,1,32,91
173,Work,1,31,92
174,Work,1,30,93
175,Work,1,29,95
176,Work,1,28,96
177,Work,1,27,96
178,Work,1,26,97
179,Work,1,25,98
180,Work,1,24,100
181,Work,1,23,100
182,Work,1,22,100
183,Work,1,21,100
184,Work,1,20,100
185,Work,1,19,100
186,Work,1,18,100
187,Work,1,17,101
188,Work,1,16,101
189,Work,1,15,101
190,Work,1,14,101
191,Work,1,13,101
192,Work,1,12,101
193,Work,1,11,102
194,Work,1,10,102
195,Work,1,9,102
196,Work,1,8,102
197,Work,1,7,101
198,Work,1,6,101
199,Work,1,5,102
200,Work,1,4,103
201,Work,1,3,103
202,Work,1,2,104
203,Work,1,1,104
204,Work,1,0,104
205,Rest,2,79,104
206,Rest,2,78,105
207,Rest,2,77,105
208,Rest,2,76,106
209,Rest,2,75,105
210,Rest,2,74,104
211,Rest,2,73,104
212,Rest,2,72,102
213,Rest,2,71,100
214,Rest,2,70,97
215,Rest,2,69,97
216,Rest,2,68,93
217,Rest,2,67,89
218,Rest,2,66,89
219,Rest,2,65,88
220,Rest,2,64,88
221,Rest,2,63,88
222,Rest,2,62,88
223,Rest,2,61,88
224,Rest,2,60,88
225,Rest,2,59,88
226,Rest,2,58,88
227,Rest,2,57,88
228,Rest,2,56,87
229,Rest,2,55,86
230,Rest,2,54,86
231,Rest,2,53,84
232,Rest,2,52,83
233,Rest,2,51,85
234,Rest,2,50,85
235,Rest,2,49,86
236,Rest,2,48,85
237,Rest,2,47,85
238,Rest,2,46,83
239,Rest,2,45,84
240,Rest,2,44,85
241,Rest,2,43,85
242,Rest,2,42,86
243,Rest,2,41,86
244,Rest,2,40,86
245,Rest,2,39,85
246,Rest,2,38,85
247,Rest,2,37,86
248,Rest,2,36,86
249,Rest,2,35,87
250,Rest,2,34,89
251,Rest,2,33,88
252,Rest,2,32,90
253,Rest,2,31,90
254,Rest,2,30,91
255,Rest,2,29,92
256,Rest,2,28,92
257,Rest,2,27,92
258,Rest,2,26,91
259,Rest,2,25,89
260,Rest,2,24,89
261,Rest,2,23,86
262,Rest,2,22,84
263,Rest,2,21,84
264,Rest,2,20,82
265,Rest,2,19,82
266,Rest,2,18,82
267,Rest,2,17,81
268,Rest,2,16,81
269,Rest,2,15,81
270,Rest,2,14,81
