#hr_timer_export=1
#exported_at=2026-02-23T18:08:20.244Z
#max_hr=189
#name=WHYNN
#age=31
#sex=
#height_cm=173
#weight_kg=64
#session_type=mixed
#rounds=8
#work_s=180
#rest_s=60
#prep_s=60
#cooldown_s=180
time_s,phase,round,time_left_s,hr_bpm
0,no_round,no_round,0,70
1,no_round,no_round,0,70
2,no_round,no_round,0,71
3,no_round,no_round,0,71
4,no_round,no_round,0,71
5,no_round,no_round,0,70
6,no_round,no_round,0,70
7,no_round,no_round,0,70
8,no_round,no_round,0,70
9,no_round,no_round,0,70
10,Prep,0,59,67
11,Prep,0,58,67
12,Prep,0,57,67
13,Prep,0,56,67
14,Prep,0,55,67
15,Prep,0,54,67
16,Prep,0,53,68
17,Prep,0,52,70
18,Prep,0,51,70
19,Prep,0,50,73
20,Prep,0,49,77
21,Prep,0,48,77
22,Prep,0,47,79
23,Prep,0,46,79
24,Prep,0,45,79
25,Prep,0,44,79
26,Prep,0,43,81
27,Prep,0,42,84
28,Prep,0,41,86
29,Prep,0,40,86
30,Prep,0,39,86
31,Prep,0,38,85
32,Prep,0,37,85
33,Prep,0,36,84
34,Prep,0,35,84
35,Prep,0,34,84
36,Prep,0,33,84
37,Prep,0,32,84
38,Prep,0,31,82
39,Prep,0,30,82
40,Prep,0,29,82
41,Prep,0,28,81
42,Prep,0,27,81
43,Prep,0,26,80
44,Prep,0,25,80
45,Prep,0,24,79
46,Prep,0,23,77
47,Prep,0,22,76
48,Prep,0,21,76
49,Prep,0,20,73
50,Prep,0,19,73
51,Prep,0,18,73
52,Prep,0,17,73
53,Prep,0,16,73
54,Prep,0,15,73
55,Prep,0,14,73
56,Prep,0,13,73
57,Prep,0,12,73
58,Prep,0,11,73
59,Prep,0,10,73
60,Prep,0,9,76
61,Prep,0,8,76
62,Prep,0,7,77
63,Prep,0,6,77
64,Prep,0,5,77
65,Prep,0,4,77
66,Prep,0,3,77
67,Prep,0,2,77
68,Prep,0,1,75
69,Prep,0,0,75
70,Work,0,179,74
71,Work,0,178,74
72,Work,0,177,75
73,Work,0,176,75
74,Work,0,175,75
75,Work,0,174,78
76,Work,0,173,80
77,Work,0,172,81
78,Work,0,171,81
79,Work,0,170,81
80,Work,0,169,81
81,Work,0,168,81
82,Work,0,167,82
83,Work,0,166,83
84,Work,0,165,83
85,Work,0,164,83
86,Work,0,163,83
87,Work,0,162,83
88,Work,0,161,83
89,Work,0,160,83
90,Work,0,159,88
91,Work,0,158,88
92,Work,0,157,91
93,Work,0,156,96
94,Work,0,155,101
95,Work,0,154,101
96,Work,0,153,103
97,Work,0,152,105
98,Work,0,151,108
99,Work,0,150,109
100,Work,0,149,111
101,Work,0,148,113
102,Work,0,147,114
103,Work,0,146,114
104,Work,0,145,114
105,Work,0,144,114
106,Work,0,143,114
107,Work,0,142,114
108,Work,0,141,115
109,Work,0,140,114
110,Work,0,139,115
111,Work,0,138,115
112,Work,0,137,115
113,Work,0,136,115
114,Work,0,135,115
115,Work,0,134,116
116,Work,0,133,117
117,Work,0,132,117
118,Work,0,131,118
119,Work,0,130,119
120,Work,0,129,119
121,Work,0,128,119
122,Work,0,127,120
123,Work,0,126,120
124,Work,0,125,121
125,Work,0,124,122
126,Work,0,123,122
127,Work,0,122,122
128,Work,0,121,122
129,Work,0,120,122
130,Work,0,119,123
131,Work,0,118,124
132,Work,0,117,124
133,Work,0,116,124
134,Work,0,115,125
135,Work,0,114,125
136,Work,0,113,125
137,Work,0,112,126
138,Work,0,111,126
139,Work,0,110,125
140,Work,0,109,125
141,Work,0,108,125
142,Work,0,107,124
143,Work,0,106,124
144,Work,0,105,124
145,Work,0,104,123
146,Work,0,103,123
147,Work,0,102,123
148,Work,0,101,123
149,Work,0,100,123
150,Work,0,99,124
151,Work,0,98,126
152,Work,0,97,126
153,Work,0,96,128
154,Work,0,95,129
155,Work,0,94,130
156,Work,0,93,130
157,Work,0,92,130
158,Work,0,91,131
159,Work,0,90,131
160,Work,0,89,131
161,Work,0,88,131
162,Work,0,87,131
163,Work,0,86,132
164,Work,0,85,132
165,Work,0,84,132
166,Work,0,83,133
167,Work,0,82,133
168,Work,0,81,133
169,Work,0,80,133
170,Work,0,79,134
171,Work,0,78,134
172,Work,0,77,134
173,Work,0,76,134
174,Work,0,75,134
175,Work,0,74,133
176,Work,0,73,134
177,Work,0,72,134
178,Work,0,71,134
179,Work,0,70,134
180,Work,0,69,134
181,Work,0,68,134
182,Work,0,67,134
183,Work,0,66,133
184,Work,0,65,133
185,Work,0,64,133
186,Work,0,63,133
187,Work,0,62,131
188,Work,0,61,130
189,Work,0,60,130
190,Work,0,59,130
191,Work,0,58,130
192,Work,0,57,130
193,Work,0,56,130
194,Work,0,55,130
195,Work,0,54,130
196,Work,0,53,130
197,Work,0,52,129
198,Work,0,51,128
199,Work,0,50,128
200,Work,0,49,128
201,Work,0,48,127
202,Work,0,47,127
203,Work,0,46,127
204,Work,0,45,125
205,Work,0,44,123
206,Work,0,43,123
207,Work,0,42,122
208,Work,0,41,121
209,Work,0,40,121
210,Work,0,39,121
211,Work,0,38,121
212,Work,0,37,121
213,Work,0,36,121
214,Work,0,35,122
215,Work,0,34,123
216,Work,0,33,123
217,Work,0,32,123
218,Work,0,31,124
219,Work,0,30,124
220,Work,0,29,124
221,Work,0,28,124
222,Work,0,27,124
223,Work,0,26,124
224,Work,0,25,124
225,Work,0,24,123
226,Work,0,23,123
227,Work,0,22,123
228,Work,0,21,123
229,Work,0,20,122
230,Work,0,19,121
231,Work,0,18,119
232,Work,0,17,117
233,Work,0,16,115
234,Work,0,15,115
235,Work,0,14,115
236,Work,0,13,116
237,Work,0,12,116
238,Work,0,11,117
239,Work,0,10,118
240,Work,0,9,119
241,Work,0,8,119
242,Work,0,7,119
243,Work,0,6,119
244,Work,0,5,118
245,Work,0,4,118
246,Work,0,3,118
247,Work,0,2,118
248,Work,0,1,118
249,Work,0,0,118
250,Rest,1,59,119
251,Rest,1,58,119
252,Rest,1,57,121
253,Rest,1,56,123
254,Rest,1,55,123
255,Rest,1,54,123
256,Rest,1,53,122
257,Rest,1,52,121
258,Rest,1,51,119
259,Rest,1,50,119
260,Rest,1,49,118
261,Rest,1,48,115
262,Rest,1,47,113
263,Rest,1,46,113
264,Rest,1,45,112
265,Rest,1,44,112
266,Rest,1,43,110
267,Rest,1,42,108
268,Rest,1,41,107
269,Rest,1,40,107
270,Rest,1,39,107
271,Rest,1,38,106
272,Rest,1,37,105
273,Rest,1,36,105
274,Rest,1,35,104
275,Rest,1,34,105
